Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1646F,Playing Around the Table,2900,,https://codeforces.com/contest/1646/problem/F,Codeforces Round #774 (Div. 2),2022-03-04,https://codeforces.com/contest/1646,"constructive algorithms, greedy, implementation",
Codeforces,1646E,Power Board,2200,,https://codeforces.com/contest/1646/problem/E,Codeforces Round #774 (Div. 2),2022-03-04,https://codeforces.com/contest/1646,"brute force, dp, math, number theory",
Codeforces,1646D,Weight the Tree,2000,,https://codeforces.com/contest/1646/problem/D,Codeforces Round #774 (Div. 2),2022-03-04,https://codeforces.com/contest/1646,"constructive algorithms, dfs and similar, dp, implementation, trees",
Codeforces,1646C,Factorials and Powers of Two,1500,,https://codeforces.com/contest/1646/problem/C,Codeforces Round #774 (Div. 2),2022-03-04,https://codeforces.com/contest/1646,"bitmasks, brute force, constructive algorithms, dp, math",
Codeforces,1646B,Quality vs Quantity,800,,https://codeforces.com/contest/1646/problem/B,Codeforces Round #774 (Div. 2),2022-03-04,https://codeforces.com/contest/1646,"brute force, constructive algorithms, greedy, sortings, two pointers",
Codeforces,1646A,Square Counting,800,,https://codeforces.com/contest/1646/problem/A,Codeforces Round #774 (Div. 2),2022-03-04,https://codeforces.com/contest/1646,math,
Codeforces,1644F,Basis,2900,,https://codeforces.com/contest/1644/problem/F,Educational Codeforces Round 123 (Rated for Div. 2),2022-02-22,https://codeforces.com/contest/1644,"combinatorics, fft, math, number theory",
Codeforces,1644E,Expand the Path,1900,,https://codeforces.com/contest/1644/problem/E,Educational Codeforces Round 123 (Rated for Div. 2),2022-02-22,https://codeforces.com/contest/1644,"brute force, combinatorics, data structures, implementation, math",
Codeforces,1644D,Cross Coloring,1700,,https://codeforces.com/contest/1644/problem/D,Educational Codeforces Round 123 (Rated for Div. 2),2022-02-22,https://codeforces.com/contest/1644,"data structures, implementation, math",
Codeforces,1644C,Increase Subarray Sums,1400,,https://codeforces.com/contest/1644/problem/C,Educational Codeforces Round 123 (Rated for Div. 2),2022-02-22,https://codeforces.com/contest/1644,"brute force, dp, greedy, implementation",
