Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1697F,Too Many Constraints,2800,,https://codeforces.com/contest/1697/problem/F,Educational Codeforces Round 130 (Rated for Div. 2),2022-06-12,https://codeforces.com/contest/1697,"2-sat, constructive algorithms, graphs, implementation",
Codeforces,1697E,Coloring,2400,,https://codeforces.com/contest/1697/problem/E,Educational Codeforces Round 130 (Rated for Div. 2),2022-06-12,https://codeforces.com/contest/1697,"brute force, combinatorics, constructive algorithms, dp, geometry, graphs, greedy, implementation, math",
Codeforces,1697D,Guess The String,1900,,https://codeforces.com/contest/1697/problem/D,Educational Codeforces Round 130 (Rated for Div. 2),2022-06-12,https://codeforces.com/contest/1697,"binary search, constructive algorithms, interactive",
Codeforces,1697C,awoo's Favorite Problem,1400,,https://codeforces.com/contest/1697/problem/C,Educational Codeforces Round 130 (Rated for Div. 2),2022-06-12,https://codeforces.com/contest/1697,"binary search, constructive algorithms, data structures, greedy, implementation, strings, two pointers",
Codeforces,1697B,Promo,900,,https://codeforces.com/contest/1697/problem/B,Educational Codeforces Round 130 (Rated for Div. 2),2022-06-12,https://codeforces.com/contest/1697,"greedy, sortings",
Codeforces,1697A,Parkway Walk,800,,https://codeforces.com/contest/1697/problem/A,Educational Codeforces Round 130 (Rated for Div. 2),2022-06-12,https://codeforces.com/contest/1697,"greedy, implementation",
Codeforces,1696H,Maximum Product?,3500,,https://codeforces.com/contest/1696/problem/H,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,"brute force, combinatorics, dp, greedy, implementation, math, two pointers",
Codeforces,1696G,Fishingprince Plays With Array Again,3300,,https://codeforces.com/contest/1696/problem/G,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,"brute force, data structures, geometry, math",
Codeforces,1696F,Tree Recovery,2600,,https://codeforces.com/contest/1696/problem/F,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,"brute force, constructive algorithms, dfs and similar, dsu, graphs, trees",
Codeforces,1696E,Placing Jinas,2000,,https://codeforces.com/contest/1696/problem/E,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,"combinatorics, math",
Codeforces,1696D,Permutation Graph,1900,,https://codeforces.com/contest/1696/problem/D,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,"binary search, constructive algorithms, data structures, divide and conquer, greedy, shortest paths",
Codeforces,1696C,Fishingprince Plays With Array,1400,,https://codeforces.com/contest/1696/problem/C,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,"constructive algorithms, greedy, implementation, math",
Codeforces,1696B,NIT Destroys the Universe,900,,https://codeforces.com/contest/1696/problem/B,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,greedy,
Codeforces,1696A,NIT orz!,800,,https://codeforces.com/contest/1696/problem/A,Codeforces Global Round 21,2022-06-25,https://codeforces.com/contest/1696,"bitmasks, greedy",
Codeforces,1695E,Ambiguous Dominoes,2700,,https://codeforces.com/contest/1695/problem/E,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,2022-06-18,https://codeforces.com/contest/1695,"constructive algorithms, dfs and similar, graphs",
Codeforces,1695D2,Tree Queries (Hard Version),2300,,https://codeforces.com/contest/1695/problem/D2,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,2022-06-18,https://codeforces.com/contest/1695,"constructive algorithms, dfs and similar, dp, greedy, trees",
Codeforces,1695D1,Tree Queries (Easy Version),2200,,https://codeforces.com/contest/1695/problem/D1,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,2022-06-18,https://codeforces.com/contest/1695,"brute force, constructive algorithms, dfs and similar, dp, greedy, trees",
Codeforces,1695C,Zero Path,1700,,https://codeforces.com/contest/1695/problem/C,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,2022-06-18,https://codeforces.com/contest/1695,"brute force, data structures, dp, graphs, greedy, shortest paths",
Codeforces,1695B,Circle Game,1000,,https://codeforces.com/contest/1695/problem/B,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,2022-06-18,https://codeforces.com/contest/1695,"games, greedy",
Codeforces,1695A,Subrectangle Guess,800,,https://codeforces.com/contest/1695/problem/A,Codeforces Round #801 (Div. 2) and EPIC Institute of Technology Round,2022-06-18,https://codeforces.com/contest/1695,games,
Codeforces,1694B,Paranoid String,1200,,https://codeforces.com/contest/1694/problem/B,Codeforces Round #800 (Div. 2),2022-06-16,https://codeforces.com/contest/1694,"constructive algorithms, greedy",
Codeforces,1694A,Creep,800,,https://codeforces.com/contest/1694/problem/A,Codeforces Round #800 (Div. 2),2022-06-16,https://codeforces.com/contest/1694,"greedy, implementation",
Codeforces,1693F,I Might Be Wrong,3400,,https://codeforces.com/contest/1693/problem/F,Codeforces Round #800 (Div. 1),2022-06-16,https://codeforces.com/contest/1693,"binary search, greedy, two pointers",
Codeforces,1693E,Outermost Maximums,3400,,https://codeforces.com/contest/1693/problem/E,Codeforces Round #800 (Div. 1),2022-06-16,https://codeforces.com/contest/1693,"data structures, greedy",
Codeforces,1693D,Decinc Dividing,2800,,https://codeforces.com/contest/1693/problem/D,Codeforces Round #800 (Div. 1),2022-06-16,https://codeforces.com/contest/1693,"brute force, data structures, divide and conquer, dp, greedy",
Codeforces,1693C,Keshi in Search of AmShZ,2300,,https://codeforces.com/contest/1693/problem/C,Codeforces Round #800 (Div. 1),2022-06-16,https://codeforces.com/contest/1693,"graphs, greedy, shortest paths",
Codeforces,1693B,Fake Plastic Trees,1700,,https://codeforces.com/contest/1693/problem/B,Codeforces Round #800 (Div. 1),2022-06-16,https://codeforces.com/contest/1693,"dfs and similar, dp, greedy, trees",
Codeforces,1693A,Directional Increase,1300,,https://codeforces.com/contest/1693/problem/A,Codeforces Round #800 (Div. 1),2022-06-16,https://codeforces.com/contest/1693,greedy,
