Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1672I,PermutationForces,3000,,https://codeforces.com/contest/1672/problem/I,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"data structures, greedy",
Codeforces,1672H,Zigu Zagu,2700,,https://codeforces.com/contest/1672/problem/H,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, greedy",
Codeforces,1672G,Cross Xor,3200,,https://codeforces.com/contest/1672/problem/G,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, graphs, math",
Codeforces,1672F2,Checker for Array Shuffling,2800,,https://codeforces.com/contest/1672/problem/F2,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, dfs and similar, graphs",
Codeforces,1672F1,Array Shuffling,2000,,https://codeforces.com/contest/1672/problem/F1,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, graphs, greedy",
Codeforces,1672E,notepad.exe,2200,,https://codeforces.com/contest/1672/problem/E,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"binary search, constructive algorithms, greedy, interactive",
Codeforces,1672D,Cyclic Rotation,1700,,https://codeforces.com/contest/1672/problem/D,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, greedy, implementation, two pointers",
Codeforces,1672C,Unequal Array,1100,,https://codeforces.com/contest/1672/problem/C,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, greedy, implementation",
Codeforces,1672B,I love AAAB,800,,https://codeforces.com/contest/1672/problem/B,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, implementation",
Codeforces,1672A,Log Chopping,800,,https://codeforces.com/contest/1672/problem/A,Codeforces Global Round 20,2022-04-23,https://codeforces.com/contest/1672,"constructive algorithms, games, implementation, math",
Codeforces,1669H,Maximal AND,1300,,https://codeforces.com/contest/1669/problem/H,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,"bitmasks, greedy, math",
Codeforces,1669G,Fall Down,1200,,https://codeforces.com/contest/1669/problem/G,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,"dfs and similar, implementation",
Codeforces,1669F,Eating Candies,1100,,https://codeforces.com/contest/1669/problem/F,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,"binary search, data structures, greedy, two pointers",
Codeforces,1669E,2-Letter Strings,1200,,https://codeforces.com/contest/1669/problem/E,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,"data structures, math, strings",
Codeforces,1669D,Colorful Stamp,1100,,https://codeforces.com/contest/1669/problem/D,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,implementation,
Codeforces,1669C,Odd/Even Increments,800,,https://codeforces.com/contest/1669/problem/C,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,"greedy, greedy, implementation, math",
Codeforces,1669B,Triple,800,,https://codeforces.com/contest/1669/problem/B,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,"implementation, sortings",
Codeforces,1669A,Division?,800,,https://codeforces.com/contest/1669/problem/A,Codeforces Round #784 (Div. 4),2022-04-21,https://codeforces.com/contest/1669,implementation,
Codeforces,1668B,Social Distance,900,,https://codeforces.com/contest/1668/problem/B,Codeforces Round #783 (Div. 2),2022-04-19,https://codeforces.com/contest/1668,"greedy, math, sortings",
Codeforces,1668A,Direction Change,800,,https://codeforces.com/contest/1668/problem/A,Codeforces Round #783 (Div. 2),2022-04-19,https://codeforces.com/contest/1668,"implementation, math",
Codeforces,1667F,Yin Yang,3500,,https://codeforces.com/contest/1667/problem/F,Codeforces Round #783 (Div. 1),2022-04-19,https://codeforces.com/contest/1667,implementation,
Codeforces,1667E,Centroid Probabilities,3000,,https://codeforces.com/contest/1667/problem/E,Codeforces Round #783 (Div. 1),2022-04-19,https://codeforces.com/contest/1667,"combinatorics, dp, fft, math",
Codeforces,1667D,Edge Elimination,2900,,https://codeforces.com/contest/1667/problem/D,Codeforces Round #783 (Div. 1),2022-04-19,https://codeforces.com/contest/1667,"constructive algorithms, dfs and similar, dp, trees",
Codeforces,1667C,Half Queen Cover,2400,,https://codeforces.com/contest/1667/problem/C,Codeforces Round #783 (Div. 1),2022-04-19,https://codeforces.com/contest/1667,"constructive algorithms, math",
Codeforces,1667B,Optimal Partition,2100,,https://codeforces.com/contest/1667/problem/B,Codeforces Round #783 (Div. 1),2022-04-19,https://codeforces.com/contest/1667,"data structures, dp",
Codeforces,1667A,Make it Increasing,1300,,https://codeforces.com/contest/1667/problem/A,Codeforces Round #783 (Div. 1),2022-04-19,https://codeforces.com/contest/1667,"brute force, greedy, math",
